Number of letters,Word,G 1,G 2,G 3,G 4,G 5,G 6,G 7,G 8,G 10,G 11,G 12,G 13,G 14,G 15,G 16,G 17 ,G 18,G 19 ,G 20,G 21,G 22,G 23,G 24,Column 3
8,calendar,e,t ,a,l,n,i,o,s,r,c,d,,,,,,,,,,,,,
9,Custodian,e,t,a,o,i,l,n,r,s,y,u,d,c,,,,,,,,,,,
,deliquescent,e,t,n, a,s, h,"v, ",b,g,d,c,q,,,,,,,,,,,,
9,Education,e,o,n,s,a,x,m,r,l,d,u,c,t,i,,,,,,,,,,
8,elephant,e,t ,l ,p,h,a,n,,,,,,,,,,,,,,,,,
9,Excellent,e,t,n,l,c,x,,,,,,,,,,,,,,,,,,
8,moonrise,e,t ,a,o,i,n,s,r,m,,,,,,,,,,,,,,,
,opportunity,e,a,i,o,c,n,s,t,p,r,u,y,,,,,,,,,,,,
9,spotlight,e,a,r,s,t,n,p,l ,o,i,g,h,,,,,,,,,,,,
8,strength,e,t,a,r,i,g,h,n,,,,,,,,,,,,,,,,
9,Vegetable,e,d,a,l,b,n,t,g,,,,,,,,,,,,,,,,
,wanderlust,e,c,s,i,a,t,o,u,m,d,r,l,n,w,,,,,,,,,,
8,whispers,e,a,i,o,t,s,n,l,b,w,h,p,r,,,,,,,,,,,
9,Wonderful,e,t,a,o,i,n,r,u,l,d,f,w,,,,,,,,,,,,
9,Adventure,,,,,,,,,,,,,,,,,,,,,,,,
8,anchored,,,,,,,,,,,,,,,,,,,,,,,,
,bamboozling,,,,,,,,,,,,,,,,,,,,,,,,
8,basement,,,,,,,,,,,,,,,,,,,,,,,,
10,Basketball,,,,,,,,,,,,,,,,,,,,,,,,
,Belligerent,,,,,,,,,,,,,,,,,,,,,,,,
9,Blackbird,,,,,,,,,,,,,,,,,,,,,,,,
8,breading,,,,,,,,,,,,,,,,,,,,,,,,
,bumblefooted,,,,,,,,,,,,,,,,,,,,,,,,
,Butterscotch,,,,,,,,,,,,,,,,,,,,,,,,
8,cardigan,,,,,,,,,,,,,,,,,,,,,,,,
,Cheeseburger,,,,,,,,,,,,,,,,,,,,,,,,
9,chemistry,,,,,,,,,,,,,,,,,,,,,,,,
,Circumspect,,,,,,,,,,,,,,,,,,,,,,,,
,comfortable,,,,,,,,,,,,,,,,,,,,,,,,
,"Communication,",,,,,,,,,,,,,,,,,,,,,,,,
,conversation,,,,,,,,,,,,,,,,,,,,,,,,
,Conversation,,,,,,,,,,,,,,,,,,,,,,,,
9,Crossroad,,,,,,,,,,,,,,,,,,,,,,,,
9,Dangerous,,,,,,,,,,,,,,,,,,,,,,,,
8,darkness,,,,,,,,,,,,,,,,,,,,,,,,
,Deleterious,,,,,,,,,,,,,,,,,,,,,,,,
9,Delicious,,,,,,,,,,,,,,,,,,,,,,,,
,development,,,,,,,,,,,,,,,,,,,,,,,,
10,Dictionary,,,,,,,,,,,,,,,,,,,,,,,,
9,Different,,,,,,,,,,,,,,,,,,,,,,,,
8,distance,,,,,,,,,,,,,,,,,,,,,,,,
,Duplicitous,,,,,,,,,,,,,,,,,,,,,,,,
,"Entertainment,",,,,,,,,,,,,,,,,,,,,,,,,
8,fraction,,,,,,,,,,,,,,,,,,,,,,,,
8,graceful,,,,,,,,,,,,,,,,,,,,,,,,
9,Grassland,,,,,,,,,,,,,,,,,,,,,,,,
10,Helicopter,,,,,,,,,,,,,,,,,,,,,,,,
9,Hitchhike,,,,,,,,,,,,,,,,,,,,,,,,
9,Important,,,,,,,,,,,,,,,,,,,,,,,,
,intelligence,,,,,,,,,,,,,,,,,,,,,,,,
,International,,,,,,,,,,,,,,,,,,,,,,,,
,kaleidoscope,,,,,,,,,,,,,,,,,,,,,,,,
8,kingship,,,,,,,,,,,,,,,,,,,,,,,,
,malodourous,,,,,,,,,,,,,,,,,,,,,,,,
,melancholic,,,,,,,,,,,,,,,,,,,,,,,,
,Mellifluous,,,,,,,,,,,,,,,,,,,,,,,,
,Neighborhood,,,,,,,,,,,,,,,,,,,,,,,,
9,Nightfall,,,,,,,,,,,,,,,,,,,,,,,,
,nonchalant,,,,,,,,,,,,,,,,,,,,,,,,
,organization,,,,,,,,,,,,,,,,,,,,,,,,
9,Overdrive,,,,,,,,,,,,,,,,,,,,,,,,
,palindromic,,,,,,,,,,,,,,,,,,,,,,,,
,particularly,,,,,,,,,,,,,,,,,,,,,,,,
8,personal,,,,,,,,,,,,,,,,,,,,,,,,
,phantasmatic,,,,,,,,,,,,,,,,,,,,,,,,
9,pineapple,,,,,,,,,,,,,,,,,,,,,,,,
8,portrait,,,,,,,,,,,,,,,,,,,,,,,,
,possibility,,,,,,,,,,,,,,,,,,,,,,,,
,preposterous,,,,,,,,,,,,,,,,,,,,,,,,
,professional,,,,,,,,,,,,,,,,,,,,,,,,
,Professional,,,,,,,,,,,,,,,,,,,,,,,,
10,Protection,,,,,,,,,,,,,,,,,,,,,,,,
,publication,,,,,,,,,,,,,,,,,,,,,,,,
,relationship,,,,,,,,,,,,,,,,,,,,,,,,
,requirement,,,,,,,,,,,,,,,,,,,,,,,,
10,Restaurant,,,,,,,,,,,,,,,,,,,,,,,,
,serendipity,,,,,,,,,,,,,,,,,,,,,,,,
,significant,,,,,,,,,,,,,,,,,,,,,,,,
9,Snowstorm,,,,,,,,,,,,,,,,,,,,,,,,
,Solipsistic,,,,,,,,,,,,,,,,,,,,,,,,
8,squirrel,,,,,,,,,,,,,,,,,,,,,,,,
10,Technology,,,,,,,,,,,,,,,,,,,,,,,,
9,telephone,,,,,,,,,,,,,,,,,,,,,,,,
10,Television,,,,,,,,,,,,,,,,,,,,,,,,
,temperature,,,,,,,,,,,,,,,,,,,,,,,,
,Thanksgiving,,,,,,,,,,,,,,,,,,,,,,,,
10,Tournament,,,,,,,,,,,,,,,,,,,,,,,,
,traditional,,,,,,,,,,,,,,,,,,,,,,,,
,Understanding,,,,,,,,,,,,,,,,,,,,,,,,
10,Watermelon,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Refrigerator,,,,,,,,,,,,,,,,,,,,,,,,
,Relationship,,,,,,,,,,,,,,,,,,,,,,,,
,Organization,,,,,,,,,,,,,,,,,,,,,,,,